game_state,next_state,runs_scored,transition_count
1-0-0-1,1-0-1-0,1,329
0-1-0-1,2-0-0-0,1,234
2-0-1-1,3-1,1,36
2-0-0-1,3-1,1,16
2-0-0-1,2-0-0-1,1,44
2-1-1-0,3-2,2,16
1-1-1-1,2-1-0-0,2,18
1-1-1-1,2-0-0-0,3,4
1-1-0-0,3-0,0,5567
0-0-1-0,1-1-0-0,0,119
0-1-1-0,0-1-0-1,1,249
2-1-0-1,2-0-1-0,2,224
1-1-1-1,2-0-1-1,1,309
2-0-1-0,2-0-1-1,0,10
1-0-0-1,3-0,0,57
0-1-1-1,2-0-1-1,0,53
0-1-1-1,0-0-0-1,3,16
0-1-0-1,1-0-0-0,2,2
0-0-0-0,0-1-0-0,0,41768
1-1-0-1,1-1-1-0,1,1021
1-0-0-0,1-0-0-0,1,3985
1-0-1-1,3-0,0,82
0-0-1-1,0-1-0-0,2,128
2-0-0-1,2-0-1-0,1,464
0-1-1-0,1-1-0-0,1,22
1-0-1-1,3-1,1,24
0-0-1-0,0-0-0-1,1,52
1-1-1-1,1-1-1-1,1,984
1-0-1-1,2-0-1-1,0,2023
0-0-0-0,0-0-0-1,0,797
2-0-1-1,2-1-1-1,0,1252
2-0-1-1,2-0-0-0,3,184
1-1-0-1,2-0-1-1,0,168
